point_one_speed,point_one_deviation,point_two_speed,point_two_deviation,point_three_speed,point_three_deviation,point_four_speed,point_four_deviation,point_five_speed,point_five_deviation,point_six_speed,point_six_deviation,point_seven_speed,point_seven_deviation,point_eight_speed,point_eight_deviation,point_nine_speed,point_nine_deviation,point_ten_speed,point_ten_deviation,point_eleven_speed,point_eleven_deviation,point_twelve_speed,point_twelve_deviation,point_thirteen_speed,point_thirteen_deviation,point_fourteen_speed,point_fourteen_deviation,point_fifteen_speed,point_fifteen_deviation,CollectCount,Score
1.2322810888290405,30.08981120924155,2.556846437000093,23.143192034553397,1.0719143635517843,58.21810503640482,1.4603981018066405,47.42137044317582,1.3396793093000139,75.85684385895729,2.784935302734375,36.8288797912629,2.433954620361328,11.413747950033708,2.5777271815708707,14.462298162778218,2.5001206970214844,51.80327103993336,2.0114564895629883,84.29737967103719,3.0612460242377386,8.302069115638734,1.4698936144510906,73.61216145667477,2.140535036722819,45.4709586884549,2.3453078891920005,17.233237038056057,0.8840047983022836,52.16977618137995,16,124
0,0,4.316053072611491,21.955735463362473,3.3288165005770596,33.088986230933145,3.2745097478230796,34.867388431842514,4.054002443949382,17.679052187846256,2.3881334577287947,14.840671278793236,3.240354364568537,16.640756448109943,4.293539193960337,25.48323130607605,0,0,1.519007968902588,29.826538761456806,2.70269775390625,27.63250786286813,3.999278728778546,28.650616884231567,3.547874927520752,26.19706196255154,2.919235865275065,19.45973500609398,5.090909090909091,23.957687377929688,14,134
3.661490631103516,19.605066657066345,2.3889718055725098,21.731200589074028,4.064117030093544,7.4401305466890335,0,0,3.3251143864222934,26.355123472213744,4.636910502115885,6.184366714209318,2.896479606628418,22.94092540557568,3.318377102122587,19.58577889866299,3.643235445022583,15.047171445453868,1.5108232498168945,25.444715046882628,2.1392671411687676,43.219750126202904,3.3730560302734376,15.285708077251911,3.502364730834961,8.547067815607244,2.0413753191630044,40.824293362406586,3.4457037448883057,19.455053185715396,15,138
0,0,0,0,0,0,2.3185172610812717,20.316829988830968,2.1635834087025034,17.06779794589333,1.6021425156366258,20.732905981152555,0,0,0.7919596099853515,5.313119203436608,1.9459021091461182,4.576494761375767,0,0,1.4156200772240048,8.781893063675273,0,0,0,0,0,0,0,0,6,48
1.037037037037037,39.764993910988174,0.22896379923952218,18.84272268479997,0,0,1.1180340221949987,24.55425048828125,0.5486708516659944,24.10063112633569,0,0,0,0,0,0,0.8818296513087313,8.64183450759285,0.8888888888888888,40.7927372397446,1.2396392822265625,13.937674233253967,0.8973453228290265,26.885086893200874,0.5380226771036783,9.054408519268035,0.7567567567567568,18.75144897761016,1.0506748910677635,13.561260699232419,13,66
3.373470942179362,16.2599494896437,1.4398935106065538,77.91168516916888,2.9505434036254883,43.87772925694784,2.049494743347168,20.937739803677513,1.6978013009736033,37.04831756970712,6.189971923828125,66.02287395298481,2.2750951832738417,93.79328034191892,1.3214500690328663,45.54378515084584,3.3817138671875,60.122929768555835,3.7346293926239014,70.09183274805545,2.6001717249552407,32.95995008318048,3.4884293296120386,15.098287670508675,2.80755615234375,48.055735655128956,4.154458363850911,47.289692065750174,1.946566162109375,68.9941223124663,18,90
0.8419929146766663,10.612557474304648,1.0635444378030712,16.0464162301209,0.9333333333333333,11.759828391123792,2.0551405513987824,21.85514724562908,0,0,0,0,0.8008171392946827,28.104056386947633,1.1640125910441081,18.62326627118247,1.6665763043342752,5.610109896399081,1.2726817228356186,10.34346737742424,0.823814542669999,7.552063663991598,0,0,1.3704797199794225,11.035946020278438,1.0776588834565262,16.334831988811494,1.1550347010294597,12.636836226079978,19,106
0,0,0.6448074812741623,13.712780034967832,0.8896023949911428,13.616458012299104,1.1795250514768205,16.18447791315891,0.732853767199394,29.810226590134377,1.5177352905273438,11.988373462596666,0,0,0.9792397482353344,37.84834903639321,0.9468398690223694,8.244349968026984,0,0,1.0300530972688093,7.879923572565647,1.4967878241288035,13.693052585308369,1.08469248752968,17.377982909862812,0,0,1.0225277352840343,14.114707938085,21,114
0,0,2.16795285542806,18.62381369189212,2.105891051115813,15.553332298994064,1.9790402221679688,19.069360751372116,1.8435300191243489,22.46584165096283,0,0,0,0,0,0,2.2952006304705583,8.633547310318265,1.5555555555555556,24.69524998664856,0,0,2.1837474278041293,10.116094490577435,2.289303249782986,25.168140063160344,2.6341143290201825,9.154204399354997,0,0,10,88
1.9938035692487444,42.84645118795592,2.0749345143636067,44.70263975432941,4.399775611029731,18.587631115275954,1.6154847396047491,22.609980246959587,0.4516689380009969,15.831452083587646,1.6847478693181819,2.1161099555699723,2.081092357635498,11.716816754341126,0.9798179202609592,29.003147636141097,1.005197891822228,15.377573631427905,2.318752513212316,17.243672348771778,1.879224053744612,30.89089191754659,2.2566371154785156,21.30736067661872,1.4188629676555764,33.300030854841076,4.115481657140395,10.49837490158566,0.8615401037808122,31.517149877548217,24,154
